;processo;sentenca;similar_file;similar_processo;similaridade
7;2016.001.140174-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95.   

Publique-se, se for o caso. R.I. Certifique-se acerca do trânsito em julgado.
 
Em  caso  de  depósito  judicial  referente  à  condenação,  expeça-se mandado  de  pagamento, independentemente de nova conclusão.   
 
Caso  haja  valor  remanescente  a  ser  recebido,  manifeste-se  o  credor  em 7  dias,  sob  pena  de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente.   
  
Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias  para  pagamento  espontâneo  do  valor  da  condenação  previsto  no  art.  523  do  NCPC  c/c  o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento.   
 
FICAM  AS  PARTES  CIENTES  DE  QUE  A  NOVA  SISTEMÁTICA DE  CONTAGEM  DE  PRAZO ESTABELECIDO  NO  ART.  219  DO NCPC/2015  NÃO  SE  APLICA  AOS  JUIZADOS  ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";00044BA9B0CC004FF0BC3568AEB83081D3C1C5061E470A64;2016.001.340837-2;0.6090424060821533
8;2016.001.140174-0;"
Processo 0380932-35.2016.8.19.0001

AUTOR: GUILHERME SASSON GOLDBERG - (Adv. William Teitel, OAB 180427)
RÉU: AZUL LINHAS AEREAS BRASILEIRAS S/A - (Adv. Fabiano Coutinho Barros da Silva, OAB 109658)
Representante: Lusinete Maria dos Santos.
	

TERMO DE AUDIÊNCIA 

Ao décimo dia do mês de fevereiro de 2017, na sala de audiências do VI Juizado Especial Cível, em sessão presidida pelo Juiz MAURO NICOLAU JÚNIOR, feito o pregão, às 15h45min, compareceram as partes e advogados conforme acima mencionado. Proposta a conciliação esta foi aceita nos seguintes termos: a ré procederá ao pagamento do valor de R$ 3.000,00 impreterivelmente até o dia 08 de março de 2017 através de depósito na conta corrente número 0004815-1, agência 7092 do Banco Bradesco S.A., em nome do autor, CPF. 059.069.427/85 (nasc. 21.09.1989). No caso de não pagamento incidirá multa de 30%. A seguir pelo MM. Juiz foi proferida a seguinte SENTENÇA: HOMOLOGO a composição amigável a que chegaram as partes mediante os termos e condições acima pactuados e em consequência decreto a extinção do processo com resolução do mérito. Intimados em audiência, registre-se e cumpra-se. Certificados o trânsito em julgado e a inexistência de custas a recolher dê-se baixa e arquive-se. Nada mais havendo a ser consignado considerando que as partes e seus patronos afirmaram a inexistência de dúvidas ou impugnações quanto ao conteúdo da presente ata foi a audiência encerrada as 16.05 horas. 

MAURO NICOLAU JUNIOR
Juiz de Direito";00045FC81ACAB705F9F166BEBBF2A6F7872BC505634C2E48;2016.001.332542-9;0.6024465560913086
9;2016.001.140174-0;"Dispensado o relatório nos termos do art. 38 da Lei nº 9.099/95, passo a decidir.

	Inexiste preliminar a dirimir, razão pela qual, reconhecendo a existência dos pressupostos processuais e das condições ao regular desenvolvimento da ação, passo ao exame do mérito.

A relação jurídica entre as partes é de consumo, já que estão presentes os requisitos subjetivos (consumidor e fornecedor - artigos 2º e 3º da Lei nº 8.078/90) e os objetivos (produto e serviço - §1º e 2º do artigo 3º da citada lei) de tal relação.

Trata-se de ação indenizatória em que o Autor pretende ser ressarcido pelos transtornos enfrentados em razão da má prestação de serviço pela Ré.

No caso em comento, o Autor relata que adquiriu passagem perante a Ré, saindo do Rio de Janeiro com destino a Londrina e escala em Curitiba, com ida em 05 de setembro de 2014 e retorno em 11 de setembro de 2014, porém, no trajeto de retorno ao Rio de Janeiro, o Autor foi surpreendido com o cancelamento do seu vôo que partiria de Londrina às 19h45min. 

Neste contexto, narra que nenhuma orientação lhe foi dada e que, ao se informar a respeito, a funcionária se limitou a dizer que o Autor não seria realocado em outro vôo, pois todos estavam lotados, inclusive os de outras companhias aéreas e que não teria hotéis disponíveis em Londrina para ele pernoitar. Assim, lhe foi dada como única opção a ida para Curitiba de ônibus, em um trajeto de sete horas, e que ao chegar lá às 2h da manhã, não havia nenhum funcionário da Ré para lhe orientar, tendo conseguido contato com uma preposta apenas às 5h da manhã, que lhe informou não ser possível o custeio de hospedagem para o Autor, tendo este aguardado por alguma solução até às 7h da manhã, tendo retornado para o Rio de Janeiro no vôo das 08h48min.

Da análise dos autos, verifica-se que a parte Autora juntou os documentos necessários à configuração do seu dano. 

Incumbe à parte Ré o ônus de provar o fato modificativo ou extintivo do direito da parte Autora, na forma do artigo 373, II do Código de Processo Civil e do artigo 14, §3º do Código de Defesa do Consumidor, o que não ocorreu, pois apenas sustenta que o cancelamento do vôo foi preventivo, por motivos de segurança, visando a proteção de seus clientes. 

Entretanto, a parte Ré ignora os acontecimentos subsequentes ao cancelamento do vôo, narrados pelo Autor, e não justifica a ausência de assistência, de informação ou de custeio de hospedagem e alimentação e nem apresentou prova contrária aos relatos autorais.

Ademais, o documento de fls. 58, que pretende comprovar a manutenção na aeronave, demonstra que o procedimento foi realizado no aeroporto internacional do Rio de Janeiro, o que foi pontuado pelo Autor em AIJ, por ter lhe causado estranheza, já que a recomendação era de que a aeronave não fosse utilizada por segurança, porém, a Ré não prestou esclarecimentos a este respeito.

É cediço que a Ré responde objetivamente, independente da existência ou não de culpa, responsabilidade esta que se funda na Teoria do Risco do Empreendimento. De acordo com esta teoria, na qualidade de fornecedor, os riscos do empreendimento correm por sua conta, cabendo-lhe arcar com os prejuízos decorrentes de seu erro ou descaso.

Neste contexto, atribuo verossimilhança aos fatos, com base nas provas carreadas aos autos, prevalecendo, assim, a narrativa da parte Autora, em sua petição inicial e na Audiência realizada perante este Juízo, considerando ainda a sua vulnerabilidade e presunção de boa fé.

Por fim, entendo que a situação ora sob exame caracteriza o dano moral que merece reparação.

O dano moral nas relações de consumo não se configura apenas como lesão de sentimento, mas como forma de ressarcir a falta de cuidado com o consumidor e de prevenir situações semelhantes no futuro. Ressalto que a reparação desse tipo de dano tem tríplice caráter: punitivo, indenizatório e educativo, como forma de desestimular a reiteração do ato danoso.

Em razão do exposto, a quantificação do dano moral a ser indenizado deve ser dotada de razoabilidade e proporcionalidade. A razoabilidade está contemplada, ante as consequências do fato e a duração do evento.

A conta do acima exposto, JULGO PROCEDENTES OS PEDIDOS para: 

a) Condenar a parte Ré a pagar à parte Autora a quantia de R$ 18,40 (dezoito reais e quarenta centavos), a título de danos materiais, acrescidos de correção monetária com base nos índices oficiais da CGJ e juros legais, ambos desde o efetivo desembolso;

b) Condenar a Ré à parte Autora a quantia de R$ 3.000,00 (três mil reais), a título de indenização por danos morais, corrigida monetariamente desde a leitura da presente sentença e acrescida de juros legais, a partir da citação.

Sem custas e honorários vez que em sede de Juizado Especial Cível, conforme disposto no artigo 55 da Lei nº 9.099/95.

Cientes as partes do disposto no artigo 52, IV da Lei nº 9.099/95, quanto à necessidade de cumprimento voluntário da sentença, sob pena de penhora, dispensada nova citação.

Ficam ainda as partes intimadas de que em se tratando de sentença condenatória ao pagamento de quantia certa, o prazo previsto no artigo 523 do Código de Processo Civil, para a incidência da multa ali prevista (de 10%), contar-se-á da data do trânsito em julgado.

Certificado o trânsito em julgado e não havendo novas manifestações no prazo de 15 (quinze) dias, dê-se baixa e arquivem-se. Cientes as partes de que decorridos 90 dias da data do arquivamento definitivo, os autos processuais serão eliminados, nos termos do artigo 1º do Ato Normativo Conjunto 01/2005, publicado no DORJ de 07/01/05.

Projeto de sentença sujeito à homologação, assim, remeto os autos à MM. Juíza Togada, nos termos do artigo 40 da Lei nº 9.099/95.";0004EC4EFE7317293D1E38A8ACBB05CD6535C50524280E47;2016.001.166496-8;0.5921556353569031
10;2016.001.140174-0;"Homologo, por sentença, para que surta seus efeitos legais, o projeto de sentença elaborado pelo juiz leigo, na forma do artigo 40 da Lei nº 9.099/95. 

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016 C/C A PRIMEIRA PARTE DO ENUNCIADO 86 TAMBÉM DO FONAJE, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004EC4EFE7317293D1E38A8ACBB05CD6535C50524280E47;2016.001.166496-8;0.5921556353569031
11;2016.001.140174-0;"Dispensado o relatório nos termos do artigo 38 da Lei 9.099/95, bem como a luz dos princípios da oralidade, simplicidade, informalidade, economia processual e celeridade, instituídos no artigo 2º da Lei dos Juizados Especiais, passo a decidir:

O Código do Consumidor no seu artigo 14 disciplinou a responsabilidade por danos causados aos consumidores em razão da prestação de serviços defeituosos, em exata correspondência com o artigo 12. O caput do dispositivo prevê a responsabilidade do fornecedor de serviços, independentemente da extensão da culpa, acolhendo, também, nesta sede, os postulados da responsabilidade objetiva. O fornecedor de serviço só não será responsabilizado quando provar que, tendo prestado o serviço, o defeito inexistiu ou a culpa exclusiva do consumidor ou de terceiro.

É certo que o exercício do direito de defesa é um ônus, não traduzindo, pois, nem uma obrigação e nem um dever, já que é incumbência atribuída a um sujeito em seu próprio interesse. Ao tomar conhecimento da demanda contra si proposta, pode a parte ré exercitar o direito de defesa. A contestação é o meio, por excelência, deste exercício e reveste-se de caráter preclusivo, já que, uma vez ofertada, tem se por consumado o direito de defesa, salvo incidentes qualquer das hipóteses elencadas no artigo 342 do Novo Código de Processo Civil, sendo certo que, consoante o artigo 434, do referido diploma legal, deve a parte instruir a resposta com os documentos destinados a provar-lhes as alegações.

Após acurada análise dos elementos coligidos aos autos, extrai-se ter restado demonstrada a falha na prestação do serviço da parte ré, consubstanciada na ausência de cumprimento do serviço conforme contratado evidenciado às fls.16/18, sendo certo que a alegação de cancelamento do voo de conexão da parte autora em razão de necessidade de manutenção da aeronave, traduz, fortuito interno, risco inerente da atividade desenvolvida, impondo-se o dever de indenizar com a reparação integral dos prejuízos causados.

Os danos morais são evidentes e decorreram dos constrangimentos indevidamente impostos à parte autora, notadamente no que concerne na ausência de cumprimento do serviço conforme contratado inicialmente, sendo da própria lei a reparabilidade de danos morais decorrentes de sofrimentos, dor, perturbações emocionais e psíquicas, constrangimento, angústia e desconforto espiritual por bem ou serviço defeituoso ou inadequadamente fornecido, devendo o quantum indenizatório observar os critérios e princípios que informam o instituto.

O dano material restou comprovado às fls.15. 

Isto posto, JULGO PROCEDENTE o pedido para condenar a parte ré a restituir a parte autora a quantia de R$80,00, corrigida monetariamente do desembolso e com juros da citação, pelos danos materiais, bem como a indenizá-la com o valor de R$3.000,00, acrescidos de juros desde a citação e correção monetária a contar deste julgado, pelos danos morais. 

Sem custas e honorários. PRI. Após o trânsito em julgado, dê-se baixa e arquive-se.";0004DA4262C4B2F193035759B3B8127B55B3C505141C5749;2016.001.080545-3;0.582273542881012
12;2016.001.140174-0;"Dispensado o relatório, nos termos do artigo 38, da Lei 9099/95, PASSO A DECIDIR.

Afasto a preliminar de inépcia da petição inicial, pois da simples leitura da petição inicial é possível extrair a causa de pedir e pedido da parte autora, que foram narrados de forma simples e sucinta, nos termos do art. 14, §1º, da Lei n.º 9.099/95, tanto é que permitiram a apresentação de defesa bem fundamentada.

Passo agora à análise do mérito.

O autor comprovou que adquiriu junto ao réu uma passagem Campinas-Rio de Janeiro, com horário de saída às 08:08hs e chegada às 09:22hs do dia 05/11/2011 (fls. 23/24), mas que depois o horário previsto da chegada passou a ser 11:14hs (fl. 37).

Já o réu não trouxe aos autos qualquer fato impeditivo ou modificativo do direito do autor, se limitando a alegar que o atraso foi decorrente da necessidade de manutenção da aeronave. Ocorre que tal fato se configura como um fortuito interno, ou seja, fato inerente ao exercício da atividade desenvolvida pelo réu, que não tem o condão de afastar a sua responsabilidade. É o que preceitua o enunciado de súmula n.º 94 do TJ/RJ, ""cuidando-se de fortuito interno, o fato de terceiro não exclui o dever do fornecedor de indenizar"".

No presente caso, o próprio réu reconheceu que o voo só chegou ao seu destino às 11:13hs, de modo que houve um atraso de quase duas horas. A princípio, tal fato se enquadraria como mero aborrecimento, em razão do pouco espaço de tempo entre o horário previsto de chegada e o horário em que o autor efetivamente chegou.

Porém, o autor narrou que foi obrigado a aguardar por uma hora dentro do ônibus, sendo isso totalmente desconfortável, ferindo o princípio da dignidade humana, ainda mais porque o autor é portador de doença crônica (diabete). Além disso, é certo que toda a espera e necessidade de troca da aeronave causaram uma grande angústia nos passageiros, em razão da sensação de insegurança que foi criada, não tendo eles como saber se conseguiriam chegar ao destino desejado nem em que momento. 

Cabe, ainda, ressaltar, que os fatos ocorreram no dia do aniversário do autor, ou seja, justamente quando ele queria chegar logo ao seu destino para poder passar o dia com seus familiares e amigos, de modo que o atraso lhe trouxe uma grande tristeza.

Desta forma, se mostra devida a indenização por danos morais in re ipsa, ou seja pela mera ocorrência do fato danoso, já que foi frustrada a legítima expectativa do autor em ter um serviço prestado de forma eficiente, segura e adequada pelo réu.

A fixação do quantum indenizatório deve ser pautada pelo bom senso e sopesar os fatos praticados pela parte ré contra a parte autora, cabendo, ainda, a observância dos princípios da razoabilidade, proporcionalidade e vedação ao enriquecimento sem causa. À luz de tais critérios, entendo que a quantia de R$ 2.000,00 é necessária e suficiente para compensar o abalo moral sofrido, uma vez que o atraso foi de menos de duas horas.

Por outro lado, não há como se acolher o pedido de indenização por danos materiais, uma vez que o autor nem mesmo indicou qual teria sido o dano. Ademais, o serviço de transporte foi efetivamente prestado, ainda que de forma inadequada, de modo que não cabe a restituição do valor pago pela passagem, sendo certo que a má prestação do serviço já foi indenizada na forma de dano moral. 

Isto posto, JULGO IMPROCEDENTE o pedido de indenização por danos materiais e JULGO PROCEDENTE o pedido para CONDENAR o réu a pagar ao autor a quantia de R$ 2.000,00 (dois mil reais), monetariamente corrigida a contar da presente e acrescida de juros legais de 1% a/m (um por cento ao mês) a contar da citação. 

Sem custas e sem honorários, nos termos do artigo 55, da Lei 9099/95. 

P.R.I 

Transitado em julgado, dê-se baixa e arquive-se.

Em caso de depósito judicial referente à condenação, expeça-se mandado de pagamento, independentemente de nova conclusão. 

Caso haja valor remanescente a ser recebido, manifeste-se o credor em 7 dias, sob pena de arquivamento dos autos. Após o trânsito em julgado, tratando-se de sentença de improcedência ou de extinção do feito sem resolução do mérito, dê-se baixa e arquivem-se imediatamente. 

Tratando-se de sentença de procedência, após o trânsito em julgado e o decurso do prazo de 15 dias para pagamento espontâneo do valor da condenação previsto no art. 523 do NCPC c/c o entendimento consolidado no enunciado nº 13.9.1 do Aviso nº 23/2008 do TJERJ, aguarde-se por mais 7 dias a manifestação das partes e, em seguida, caso permaneçam em silêncio, proceda-se a baixa e ao arquivamento. 

FICAM AS PARTES CIENTES DE QUE A NOVA SISTEMÁTICA DE CONTAGEM DE PRAZO ESTABELECIDO NO ART. 219 DO NCPC/2015 NÃO SE APLICA AOS JUIZADOS ESPECIAIS CÍVEIS, CONSOANTE NOTA TÉCNICA 01/2016 DO FONAJE DE 04/03/2016, COMPUTANDO-SE OS PRAZOS EM DIAS CORRIDOS, ASSIM PROCEDENDO COM A FINALIDADE PRECÍPUA DE SE ALCANÇAR A BOA GESTÃO CARTORÁRIA COM FUNDAMENTO NO PRINCÍPIO DA CELERIDADE QUE REGE A LEI 9.099/95.";0004899BC077FD76C54FDC67955717440466C5053E2D1D5F;2016.001.138274-4;0.5682884454727173
13;2016.001.140174-0;"Considerando a ausência da parte autora à audiência de conciliação, apesar de regularmente intimada, JULGO EXTINTO O PROCESSO, sem resolução de mérito, com fundamento no artigo 51, I, da Lei 9099/95. Isento a parte autora do pagamento de custas.

Dê-se baixa e arquive-se.";00044709347AE234782B32560CD1571853D5C50503401C0B;2016.001.051037-4;0.5672882199287415
